,Site,Date,Random,Random_m,Length_m,Width_m,Depth_m,Flow_m_sec,Temp_C,Dist_nearest_structure_m,Edge_nearest_structure,Fow_direction_nearest_structure,Nr_Chinook,Nr_Steelhead_juvenile,Nr_Steelhead_large,Nr_Coho,Other_fish,,
Pool 1,Stormy A,8/1/2022,R,30R,5,3,0.79,0.7,13.3,not visible,-,-,0,0,0,0,0,,
Pool 2,Stormy A,8/1/2022,R,22R,5,3,1,0.2,13.3,not visible,-,-,0,0,0,0,0,,
Pool 3,Stormy A,8/1/2022,R,65R,5,3,0.5,0.6,13.2,,,,0,0,0,0,0,,
Pool 4,Stormy A,8/1/2022,R,37L,5,3,0.53,0.1,13.2,,,,0,0,0,0,0,,
Pool 5,Stormy A,8/1/2022,R,51L,5,3,0.54,0.1,13.2,133.5,same,down,0,0,0,0,0,,
Pool 6,Stormy A,8/1/2022,R,52R,5,3,0.48,0.4,13.2,79,opp,down,0,0,0,0,0,,
Pool 7,Stormy A,8/1/2022,R,64R,5,3,0.3,0.0,13.2,30,opp,down,0,0,0,0,0,,
Pool 8,Stormy A,8/1/2022,R,44L,5,3,0.175,0.6,13.3,30,opp,across,0,0,0,0,0,,
Pool 9,Stormy A,8/1/2022,R,73L,5,3,0.2,0.4,13.4,41,same,down,0,0,0,0,0,,
Pool 10,Stormy A,8/1/2022,R,25R,5,3,0.38,0.6,13.3,22,opp,up,0,0,0,0,0,,
Pool 11,Stormy A,8/1/2022,R,72L,5,3,0.5,0.0,13.4,,,,0,0,0,0,0,,
Pool 12,Stormy A,8/1/2022,R,67L,5,3,0.47,0.9,13.4,,,,0,0,0,0,0,,
Pool 13,Stormy A,8/1/2022,R,54R,5,3,0.09,0.2,13.5,79,opp,down,0,0,0,0,0,,
Pool 14,Stormy A,8/1/2022,R,75L,5,3,0.87,0.2,13.4,4,same,down,0,0,0,0,0,,
Pool 15,Stormy A,8/1/2022,R,33L,5,3,0.85,0.5,13.4,23,opp,down,0,0,0,0,0,,
Pool 1,Stormy A,8/1/2022,L,ELJ,12.7,7,0.3,0.5,13.2,-,-,-,10,2,0,0,2 sculpin,Several small pools on inside,
Pool 2,Stormy A,8/1/2022,L,ELJ,9.5,4.5,0.61,0.8,13.3,-,-,-,49,0,0,0,0,,
Pool 3,Stormy A,8/1/2022,L,ELJ,5.5,4.5,0.295,0.1,13.4,-,-,-,7,0,11,0,0,,
Pool 4 L,Stormy A,8/1/2022,L,ELJ,14.5,4.5,0.58,0.3,13.4,-,-,-,18,8,0,0,1 sculpin,,
